source_id,l,b,ra,dec,parallax,x_kpc,y_kpc,z_kpc,radial_velocity,radius_val,j_ks_mag,ks_mag_abs
5337900293134964352,290.52307733694926,-1.4920645487473154,165.8821122184471,-61.73606679731745,0.21708876792761217,0.11,-4.31,1.61,,2.9306486,0.19,0.17
5808764773306402688,320.57554826383216,-14.593560937355607,249.07099378968815,-69.33350088630687,0.5630991751275934,0.28,-1.09,1.37,,3.0719182,0.16,0.25
5356204030662171520,280.32900154515715,0.7633299557396857,151.25438194977414,-54.63495368985663,0.5352551765000217,-0.02,-1.84,0.33,,3.279564,0.18,0.23
6056568305971346944,301.1742393848459,2.100439118705756,189.26598592271435,-60.72224612929851,0.40371350561623986,-0.08,-2.12,1.28,,3.0513313,0.11,0.13
4659460077869842688,277.022677302268,-31.262624565516475,86.26968905941906,-67.06267349327092,0.9471183641273847,0.54,-0.9,0.13,,3.8668063,0.15,0.17
5334191429918647424,293.85089004894917,-0.2445089594899453,173.3905432192663,-61.73550624677524,0.43409984253916906,0.01,-2.11,0.93,,,0.1,0.22
5881894318157438720,323.4979051163334,-2.8720864457586983,235.44062172024323,-58.76731466991325,0.743052358344919,0.04,-0.8,1.08,,3.4081438,0.13,0.04
5277557170815345664,276.6170453229611,-15.268108057574857,123.36463371535208,-62.83296629854594,0.8770404013083513,0.3,-1.09,0.13,,3.1853178,0.18,0.28
6054243491724285184,299.20430042404877,-0.19816556048757294,184.67343225066006,-62.832686011261416,0.33864560058980214,0.01,-2.58,1.44,,3.0565963,0.15,0.17
5343513536175373312,291.3621194870995,6.417826905656699,172.71779636781403,-54.63400288159006,0.6771293210641958,-0.15,-1.37,0.54,-14.4284070525888,3.8975542,0.2,0.19
5822881506197465728,320.91395119823477,-9.269562638279831,239.80295449648426,-65.35523039393163,0.8674079644878234,0.12,-0.72,0.89,,3.517096,0.13,0.16
5338068793296717696,290.22678158929875,-0.5138243354687164,166.1356823900273,-60.721263948165664,0.20852431457816262,0.04,-4.5,1.66,,,0.14,0.03
5240469441061033472,291.38616815210077,-3.5978197049127623,165.73984093091212,-64.01057253925683,0.4191364155722604,0.14,-2.22,0.87,,4.284863,0.19,0.1
5834219635809082752,323.9078009466288,-3.185182621613897,236.43449427942545,-58.766566782267866,0.7537885266542248,0.04,-0.78,1.07,,3.3794594,0.16,0.05
5333291342208806528,295.9888646951896,-0.7907404704857804,177.50926313046466,-62.83184887139246,0.3673082113314267,0.03,-2.45,1.19,,3.4786732,0.13,0.12
5844186502484209536,307.2894746890679,-6.87540374368212,205.19808412489215,-69.32853638968996,0.358106117346593,0.27,-2.21,1.69,,3.5174026,0.17,0.03
5861586475833084160,303.5633291830251,-2.4895599857274977,194.372321844446,-65.35389088600418,0.2845506882532627,0.13,-2.93,1.94,,3.3594408,0.18,0.14
5332554982985340032,296.4892378503471,-3.2644840700318714,177.27618866471659,-65.3535707197946,0.2800680440269742,0.18,-3.19,1.59,,3.248585,0.19,0.23
5253502089814205440,288.4365028022853,-3.7545253516372528,159.69806877343865,-62.831439806253606,0.2765005768943244,0.22,-3.42,1.14,,3.2439933,0.2,0.18
6056821601613871360,303.8647247776842,3.0891982125922697,194.70972282444384,-59.7691466163624,0.6599573401562361,-0.07,-1.26,0.84,,3.6094844,0.18,0.13
5835446931301483520,328.17242556658385,-4.15081602123259,243.65288147473075,-56.71078268631458,0.5338808506558501,0.07,-0.99,1.59,,3.5953963,0.19,0.2
5255086314267332096,284.48611866303435,-2.5889293919470595,153.97283014260657,-59.768549561606726,0.5683322264560315,0.08,-1.7,0.44,,,0.11,0.16
5353399868010514560,285.8349350749832,4.147272091135363,162.4231362340099,-54.63225417539692,0.9315958428907088,-0.07,-1.03,0.29,,3.267688,0.15,0.18
5308915792192989312,276.98172336887137,-1.9695257033429538,143.7857902000234,-54.63220679537615,0.4739983866448251,0.07,-2.09,0.26,,3.56294,0.16,0.08
5251686246353797632,287.5895936128393,-5.628819354408442,155.9299980965725,-64.00822245983775,0.2549498643650415,0.37,-3.72,1.19,,2.9203055,0.15,0.25
5342253706334232320,293.7395139585386,4.953434562361124,176.00369588056859,-56.71016125356854,0.29471127174487294,-0.27,-3.09,1.37,,3.5123382,0.18,0.04
5930468100539385984,331.4041373367475,-4.461649025841962,248.05544229902185,-54.63124709762132,0.7369494627719737,0.05,-0.65,1.19,,3.5748215,0.19,0.03
5851843260997804928,308.5109174666456,-3.0637252513998017,206.31956291731558,-65.35062902458273,0.9886941017871483,0.04,-0.79,0.63,,3.3543434,0.19,0.23
6053687997805675520,299.6091110773766,-1.3326495160922003,185.26141998792147,-64.00814627817347,1.1908298467323983,0.02,-0.73,0.41,,3.2226348,0.1,0.17
5339406967673648256,290.41141435828774,1.685372744021105,168.15918031260185,-58.763712330126495,0.36774230981861716,-0.07,-2.55,0.95,,,0.12,0.21
6056823942413822336,303.96670195801136,3.0876921614561255,194.9119640642975,-59.767561543240625,0.27494481651430175,-0.16,-3.01,2.03,,4.369398,0.2,0.12
5847884744217025280,310.5219985976436,-5.354247121985837,212.57533523753443,-67.0566251238126,0.40180121860820733,0.18,-1.88,1.62,,3.460283,0.2,0.24
5858155759033019904,302.8176390350572,-4.1848510655780675,192.56710145804274,-67.05634155710469,0.6198949007631676,0.1,-1.35,0.87,,3.3081818,0.18,0.1
5338659162324993280,289.6705982028768,1.3791998046906773,166.61385755406806,-58.7629907554898,2.0305578051344595,-0.01,-0.46,0.17,,,0.11,0.1
5834195476522090112,324.2441149266776,-3.4443403361454847,237.25237042864921,-58.76222661441594,0.6057741344232915,0.06,-0.96,1.34,,3.072876,0.12,0.21
5332748664503698688,295.95394207055074,-2.0093775553356648,176.77675700321714,-64.0061199141541,0.5060364639867526,0.06,-1.78,0.86,,3.7330134,0.17,0.19
5869819069144754304,306.7247609772443,2.882923278709257,200.39877871665755,-59.766556794940286,0.3677400849356042,-0.11,-2.18,1.63,,3.2684352,0.16,0.16
5338403113550558336,288.27343181403194,-0.3742594014200922,162.68998703263895,-59.76647207490387,0.3657683901033356,0.02,-2.6,0.86,,3.2162437,0.11,0.12
5878621007639723264,314.68537216570604,-0.11244850160643109,217.4713998001002,-60.717782843126955,0.41884107197874976,0.0,-1.7,1.68,,3.4079106,0.16,0.29
5234550563780685952,295.2325018250756,-7.7779255381770485,170.78158848207747,-69.31888231574852,0.23083116750220736,0.53,-3.88,1.85,,3.6613393,0.18,0.12
5928514916843634688,329.9931096014634,-6.00154626669155,248.37448852084236,-56.70808560286126,0.6067289537986021,0.09,-0.82,1.43,,3.908718,0.2,0.02
5860451578018868352,299.18002076645354,-4.463199750581553,183.22663922872292,-67.05384385647842,0.1927635239496004,0.35,-4.52,2.53,,2.9963903,0.15,0.2
5335374440050507392,295.419887536724,1.2467965479656253,177.36032739306904,-60.71754098798944,0.8031597831790447,-0.02,-1.12,0.53,,3.2036498,0.17,0.23
5251869211964978944,288.3970609456779,-5.131291768782623,158.08725273775025,-64.00521461646733,0.64666264687854,0.13,-1.46,0.49,,3.1999266,0.14,0.08
5310172052971067008,275.6180599667555,-4.756517718731515,138.67152587858595,-55.67451514948678,0.3229290586105418,0.26,-3.07,0.3,,2.862426,0.2,0.29
5339362471808638208,290.616684778902,1.7695214991121435,168.58678252607805,-58.761223969640845,0.34575612512768356,-0.08,-2.71,1.02,,,0.18,0.05
5797455677740314240,309.9673182108792,-10.792891085192757,216.27053544023428,-72.3732556552755,0.9176802754477347,0.16,-0.82,0.7,,3.5535052,0.16,0.17
5256421293190902272,284.2969909971638,-3.874086194983442,152.1833554748325,-60.71653120370953,0.34562138348436017,0.19,-2.8,0.71,,3.3585541,0.18,0.21
5355126651012756352,282.20167680669414,0.8098370762166883,153.9827238165742,-55.67373929313602,0.44245421000971813,-0.03,-2.21,0.48,,3.9531744,0.15,0.18
5237277799308082688,295.2419391606955,-3.595288181972724,174.1871668245424,-65.34584921396917,0.42525531442532444,0.13,-2.12,1.0,,3.8391864,0.2,0.08
5858044506584855168,306.0281973334237,-2.652899869253348,200.29135417274603,-65.34578000765052,0.25877607293435734,0.14,-3.12,2.27,,3.6885667,0.19,0.25
5347066646672257024,288.8410734106672,5.512247242561051,168.11137950451194,-54.62854462839609,1.0438721386076677,-0.09,-0.9,0.31,,3.4337993,0.16,0.18
5878834347257180032,315.125846337061,0.7375248306366209,217.6581319121511,-59.764958341054594,0.6494155840837208,-0.01,-1.09,1.09,,3.5540602,0.17,0.07
5335429999752659456,294.9286492917516,1.124093955285565,176.32536127001993,-60.71585563657029,0.5060115403315248,-0.04,-1.79,0.83,,3.015942,0.11,0.15
5254321054204838784,287.0349491717872,-2.1161503395205794,158.83156848856862,-60.71587605709945,0.2530213984355182,0.14,-3.78,1.16,,3.227367,0.11,0.3
6053685382132805120,299.78351530574815,-1.3080086565412399,185.66306724733502,-64.00365170068523,0.6500120329268098,0.03,-1.33,0.76,,,0.1,0.21
5333888140814506880,293.12623878909494,-1.6326000615627803,170.9736726425005,-62.82571367042987,0.7431227271094863,0.04,-1.24,0.53,,,0.14,0.04
5334346705898898560,293.0930775080295,-0.48355364093031533,171.71273671751217,-61.72878741226588,0.45702725921414894,0.02,-2.01,0.86,,,0.16,0.25
