source_id,l,b,ra,dec,parallax,x_kpc,y_kpc,z_kpc,radial_velocity,radius_val,g_mag_abs_index,g_min_ks_index,j_ks_mag,m_ks
1131164235373828736,131.6000387536018,36.16777294977607,155.83591738553284,78.34269208668468,3.222886659053503,0.14,0.19,-0.21,-0.9957894732099142,17.415974,-5.0,22.0,0.7,4.73
4918476567469050624,312.7384331637,-58.47474961424417,3.208414473643907,-57.912458883092164,48.474103557337905,0.01,-0.01,0.01,0.9232268034947904,0.8194737,54.0,16.0,0.47,5.38
5047174884537676928,237.59742514909104,-58.07536310456865,49.13653946437564,-35.69119747635839,9.705470802071897,0.07,-0.05,-0.06,,,19.0,3.0,0.14,6.65
1087280733444272000,154.73043835744875,28.00262010897387,112.09964479060464,61.87738493335351,7.607565915885234,0.03,0.05,-0.12,-0.23401870037751848,7.447949,14.0,22.0,0.67,4.72
5255541340284541568,284.3396999272756,-1.1460401711072614,155.28439986796556,-58.48380596978914,0.8308188185793586,0.02,-1.17,0.3,1.5130180889908704,54.27491,-34.0,18.0,0.53,5.21
3493157551071194752,289.5217625757144,38.89662405228341,181.5684515423735,-22.796201756231486,5.173283025456495,-0.11,-0.14,0.06,4.422069510184521,9.358307,5.0,20.0,0.6,4.99
5459488824377831552,267.33432767345215,16.73703717804111,150.50150548383647,-34.173479589620946,13.09433011533913,-0.02,-0.07,0.0,,1.6166946,25.0,6.0,0.12,6.41
2945467925700197376,228.89324285970966,-9.757081621940772,101.21212573993208,-18.570572528742133,8.204250640151908,0.02,-0.09,-0.08,,2.4521217,15.0,5.0,0.12,6.47
5617564477239812864,236.93746634347715,-6.355881949163197,108.2606974366731,-24.225131901718257,27.417040283138988,0.0,-0.03,-0.02,32.51400802611093,1.208964,42.0,13.0,0.35,5.7
3538015632620648832,275.8404321270623,34.87022073916855,168.9270846434035,-22.915866484101056,11.246981590113364,-0.05,-0.07,0.01,,1.7402831,22.0,5.0,0.1,6.47
4055010982172546304,356.30642554374714,-0.10984696200390164,264.2442936609908,-32.12878766564456,10.528972689252141,0.0,-0.01,0.09,,,21.0,2.0,0.03,6.78
6026287961905573888,350.0126885741352,6.385386250989886,253.60993690225945,-33.47547926794596,7.485638470306732,0.0,-0.02,0.13,,,13.0,2.0,0.14,6.77
6034203689675848960,354.2117954863524,12.122343579829503,251.45184212559775,-26.64955306201888,9.211623236804638,0.0,-0.01,0.11,,,18.0,0.0,0.02,6.92
1206270362839701504,37.39048728303368,46.51678356391746,240.69248252889045,22.238367467375806,7.102576202084023,0.06,0.06,0.11,,,12.0,3.0,0.04,6.7
5884251022584340736,325.34422201989463,-1.0070456728083532,236.06748929921676,-56.16547554228898,4.2249160318754235,0.0,-0.13,0.19,,,1.0,0.0,-0.03,6.96
6813527360936866176,27.919030345539248,-51.19660988919364,329.8240655729063,-23.83356716892567,5.141643178100117,-0.07,0.06,0.17,,,5.0,0.0,-0.01,6.98
4280809129586710528,36.500359099694144,0.6009639848827827,283.9526953445065,3.449749700762274,4.630704858907722,0.0,0.13,0.17,,,3.0,3.0,0.06,6.64
3236321599147913984,199.10220706574728,-16.51883325445631,81.84889949818228,4.261546716939664,4.580315474340175,0.02,-0.07,-0.21,6.612942655371139,12.15594,3.0,23.0,0.74,4.63
4203659319307209472,25.589254656049672,-4.979258634767364,283.972157282573,-8.794514957169467,4.479639034982284,-0.01,0.1,0.2,-43.708836778692124,11.820794,2.0,21.0,0.65,4.89
2986835916815109376,214.29360648722073,-29.908403776459604,76.23737861671887,-14.222796729250533,5.361038810036281,0.05,-0.09,-0.15,-13.733235411988481,9.929982,6.0,22.0,0.7,4.77
